id,uniqueid,adddate,lastmoddate,name,ownerid,userights,sortorder,parent,groupid,federationlevel,deleted
1,1143581427433,1227157541,1227157541,Examples,1,8,0,0,0,0,0
2,1159399941517357,1318392058,1504761238,Entering Answers Tutorial Questions,1,8,0,0,0,1,0
3,11489500372410,1318392091,1504761238,Arithmetic,1,8,0,0,0,1,0
4,11489500372411,1318392091,1504761238,Whole numbers,1,8,0,3,0,1,0
5,11489500372412,1318392091,1504761238,Four basic ops,1,8,0,4,0,1,0
6,11489500372413,1318392091,1504761238,Long division,1,8,0,4,0,1,0
7,11489500372414,1318392091,1504761238,Rounding,1,8,0,4,0,1,0
8,11489500372415,1318392091,1504761238,Exponents/Roots,1,8,0,4,0,1,0
9,1153860020594197,1318392091,1504761238,Order of Ops - Whole Numbers,1,8,0,4,0,1,0
11,11489500372416,1318392091,1504761238,Integers,1,8,0,3,0,1,0
12,11489500372417,1318392091,1504761238,Intro to signed numbers,1,8,0,11,0,1,0
13,11489500372418,1318392091,1504761238,Four basic ops,1,8,0,11,0,1,0
14,1151632850636362,1318392091,1504761238,Absolute Value of Integers,1,8,0,11,0,1,0
15,1151633381000894,1318392091,1504761238,Exponents of Integers,1,8,0,11,0,1,0
16,11489500372419,1318392091,1504761238,Fractions,1,8,0,3,0,1,0
17,114895003724110,1318392091,1504761238,Mixed numbers,1,8,0,16,0,1,0
18,114895003724111,1318392091,1504761238,Reducing to lowest term,1,8,0,16,0,1,0
19,114895003724112,1318392091,1504761238,Multiplication/Division,1,8,0,16,0,1,0
20,114895003724113,1318392091,1504761238,Adding/subtracting with like denom,1,8,0,16,0,1,0
21,114895003724114,1318392091,1504761238,Least common multiple,1,8,0,16,0,1,0
22,114895003724115,1318392091,1504761238,Adding/subtracting with unlike denom,1,8,0,16,0,1,0
23,114895003724116,1318392091,1504761238,Adding/subtracting mixed numbers,1,8,0,16,0,1,0
24,114895003724117,1318392091,1504761238,Complex fractions,1,8,0,16,0,1,0
25,1157490408034505,1318392091,1504761238,Multiply Divide mixed numbers,1,8,0,16,0,1,0
26,1188579136766403,1318392091,1504761238,Ordering and Order of Ops,1,8,0,16,0,1,0
27,1203998284126796,1318392091,1504761238,Fractions,1,8,0,16,0,1,0
28,1265745370014465,1318392091,1504761238,Basic Concepts,1,8,0,16,0,1,0
29,114895003724118,1318392091,1504761238,Decimals,1,8,0,3,0,1,0
30,114895003724119,1318392091,1504761238,Reading/writing,1,8,0,29,0,1,0
31,114895003724120,1318392091,1504761238,Rounding,1,8,0,29,0,1,0
32,114895003724121,1318392091,1504761238,Four basic ops,1,8,0,29,0,1,0
33,114895003724122,1318392091,1504761238,Ratios/Proportion,1,8,0,3,0,1,0
34,114895003724123,1318392091,1504761238,Ratios,1,8,0,33,0,1,0
35,114895003724124,1318392091,1504761238,Rates,1,8,0,33,0,1,0
36,114895003724125,1318392091,1504761238,Proportions,1,8,0,33,0,1,0
37,114895003724126,1318392091,1504761238,Solving proportions,1,8,0,33,0,1,0
38,114895003724127,1318392091,1504761238,Percents,1,8,0,3,0,1,0
39,114895003724128,1318392091,1504761238,"Converting between percents, decimals, and fractions",1,8,0,38,0,1,0
40,114895003724129,1318392091,1504761238,Applications with percents,1,8,0,38,0,1,0
41,114895003724130,1318392091,1504761238,Measurement,1,8,0,3,0,1,0
42,114895003724131,1318392091,1504761238,English,1,8,0,41,0,1,0
43,114895003724132,1318392091,1504761238,Metric,1,8,0,41,0,1,0
44,114895003724133,1318392091,1504761238,Conversion,1,8,0,41,0,1,0
45,114895003724134,1318392091,1504761238,Coordinate plane,1,8,0,3,0,1,0
46,114895003724135,1318392091,1504761238,Plot point,1,8,0,45,0,1,0
47,114895003724136,1318392091,1504761238,Plot equation using points,1,8,0,45,0,1,0
48,114895003724137,1318392091,1504761238,Basic statistics,1,8,0,3,0,1,0
49,114895003724138,1318392091,1504761238,"Mean, median, mode",1,8,0,48,0,1,0
50,114895003724139,1318392091,1504761238,Reading graphs and tables,1,8,0,48,0,1,0
51,1155086968535139,1318392091,1504761238,Basic Geometry,1,8,0,3,0,1,0
52,1155086989143119,1318392091,1504761238,Quadrilaterals,1,8,0,51,0,1,0
53,1155087004382088,1318392091,1504761238,Circles,1,8,0,51,0,1,0
54,1155087022716196,1318392091,1504761238,Triangles,1,8,0,51,0,1,0
55,1188935112264121,1318392091,1504761238,Angles,1,8,0,51,0,1,0
56,1189123914194513,1318392091,1507584831,Volume and Surface Area,1,8,0,51,0,1,0
57,1193684928332981,1318392091,1504761238,Polygons,1,8,0,51,0,1,0
58,1190843479200921,1318392091,1504761238,Real Numbers,1,8,0,3,0,1,0
59,1193798486187556,1318392091,1504761238,Sequences,1,8,0,3,0,1,0
60,114895003724140,1318392166,1504804728,Algebra,1,8,0,0,0,1,0
61,114895003724141,1318392166,1504804728,Basics,1,8,0,60,0,1,0
62,114895003724142,1318392166,1504804728,Combining like terms,1,8,0,61,0,1,0
63,114895003724143,1318392166,1504804728,Distribution,1,8,0,61,0,1,0
64,114895003724144,1318392166,1504804728,Simplifying basic expressions,1,8,0,61,0,1,0
65,1192641589708845,1318392166,1504804728,Write algebraic expressions,1,8,0,61,0,1,0
66,1286649039525215,1318392166,1504804728,Vocabulary,1,8,0,61,0,1,0
67,114895003724145,1318392166,1504804728,Evaluate expressions/formulas,1,8,0,60,0,1,0
68,114895003724146,1318392166,1504804728,Geometry,1,8,0,60,0,1,0
69,114895003724147,1318392166,1504804728,Area and Volume applications,1,8,0,68,0,1,0
70,114895003724148,1318392166,1504804728,Angles,1,8,0,68,0,1,0
71,114895003724149,1318392166,1504804728,Pythagorean theorem,1,8,0,68,0,1,0
72,114895003724150,1318392166,1504804728,Linear equations in 1 variable,1,8,0,60,0,1,0
73,114895003724151,1318392166,1504804728,Basic,1,8,0,72,0,1,0
74,114895003724152,1318392166,1504804728,Many steps,1,8,0,72,0,1,0
75,114895003724153,1318392166,1504804728,With fractions,1,8,0,72,0,1,0
76,114895003724154,1318392166,1504804728,With decimals,1,8,0,72,0,1,0
77,114895003724155,1318392166,1504804728,Absolute value,1,8,0,72,0,1,0
78,1151635854829410,1318392166,1504804728,Linear Equation Applications,1,8,0,72,0,1,0
79,1228225040373917,1318392166,1504804728,translation,1,8,0,72,0,1,0
80,114895003724156,1318392166,1504804728,Linear inequalities in 1 variable,1,8,0,60,0,1,0
81,114895003724157,1318392166,1504804728,Exponents,1,8,0,60,0,1,0
82,114895003724158,1318392166,1504804728,Rules with whole number exponents,1,8,0,81,0,1,0
83,114895003724159,1318392166,1504804728,Rules with 0 and negative exponents,1,8,0,81,0,1,0
84,114895003724160,1318392166,1504804728,Simplifying expressions with exponents,1,8,0,81,0,1,0
85,1181670231706887,1318392166,1504804728,Solving Eqns with exponents,1,8,0,81,0,1,0
86,1205884389148827,1318392166,1504804728,Rational Exponents,1,8,0,81,0,1,0
87,1215028324924551,1318392166,1504804728,Scientific Notation,1,8,0,81,0,1,0
88,114895003724161,1318392166,1504804728,Polynomials,1,8,0,60,0,1,0
89,114895003724162,1318392166,1504804728,Add/subtract polynomials,1,8,0,88,0,1,0
90,114895003724163,1318392166,1504804728,Multiply polys,1,8,0,88,0,1,0
91,114895003724164,1318392166,1504804728,Division of polys (simple),1,8,0,88,0,1,0
92,114895003724165,1318392166,1504804728,Long division,1,8,0,88,0,1,0
93,114895003724166,1318392166,1504804728,Roots and intercepts,1,8,0,88,0,1,0
94,114895003724167,1318392166,1504804728,Behavior of graphs,1,8,0,88,0,1,0
95,1163521557603358,1318392166,1504804728,Power functions,1,8,0,88,0,1,0
96,1181666527829539,1318392166,1504804728,Evaluate Polynomials,1,8,0,88,0,1,0
97,1181666551226762,1318392166,1504804728,Applications of Polynomials,1,8,0,88,0,1,0
98,1294097537649153,1318392166,1504804728,Poly Definitions,1,8,0,88,0,1,0
99,1294099237180042,1318392166,1504804728,Polys in several variables,1,8,0,88,0,1,0
100,1304009376182680,1318392166,1504804728,Polynomial Inequalities,1,8,0,88,0,1,0
101,114895003724168,1318392166,1504804728,Factoring,1,8,0,60,0,1,0
102,114895003724169,1318392166,1504804728,Common factor,1,8,0,101,0,1,0
103,114895003724170,1318392166,1504804728,By grouping,1,8,0,101,0,1,0
104,114895003724171,1318392166,1504804728,"Trinomials, leading coefficient=1",1,8,0,101,0,1,0
105,114895003724172,1318392166,1504804728,"Trinomials, leading coefficient not 1",1,8,0,101,0,1,0
106,114895003724173,1318392166,1504804728,Difference of squares/perfect squares,1,8,0,101,0,1,0
107,114895003724174,1318392166,1504804728,Difference and sum of cubes,1,8,0,101,0,1,0
108,114895003724175,1318392166,1504804728,Solving quadratics by factoring,1,8,0,101,0,1,0
109,114895003724176,1318392166,1504804728,Quadratics,1,8,0,60,0,1,0
110,114895003724177,1318392166,1504804728,Completing the square,1,8,0,109,0,1,0
111,114895003724178,1318392166,1504804728,Square root principle,1,8,0,109,0,1,0
112,114895003724179,1318392166,1504804728,Quadratic formula,1,8,0,109,0,1,0
113,114895003724180,1318392166,1504804728,Vertex,1,8,0,109,0,1,0
114,114895003724181,1318392166,1504804728,Graphs,1,8,0,109,0,1,0
115,114895003724182,1318392166,1504804728,Complex numbers,1,8,0,109,0,1,0
116,1204417465729767,1318392166,1504804728,Applications,1,8,0,109,0,1,0
117,1225209557367135,1318392166,1504804728,Equations that can be written as Quadratics,1,8,0,109,0,1,0
118,114895003724183,1318392166,1504804728,Linear equations in 2 variables,1,8,0,60,0,1,0
119,114895003724184,1318392166,1504804728,Rates of change,1,8,0,118,0,1,0
120,114895003724185,1318392166,1504804728,Slope,1,8,0,118,0,1,0
121,114895003724186,1318392166,1504804728,Slope-intercept equation of a line,1,8,0,118,0,1,0
122,114895003724187,1318392166,1504804728,Point-slope equation,1,8,0,118,0,1,0
123,114895003724188,1318392166,1504804728,Standard form equation of a line,1,8,0,118,0,1,0
124,114895003724189,1318392166,1504804728,Graphs,1,8,0,118,0,1,0
125,114895003724190,1318392166,1504804728,Interpreting equations,1,8,0,118,0,1,0
126,1181620123416272,1318392166,1504804728,Literal Equations,1,8,0,118,0,1,0
127,1181620983419056,1318392166,1504804728,Intercepts,1,8,0,118,0,1,0
128,1181621078840801,1318392166,1504804728,Horizontal & Vertical Lines,1,8,0,118,0,1,0
129,1181621426350667,1318392166,1504804728,Applications,1,8,0,118,0,1,0
131,114895003724191,1318392166,1504804728,Systems of linear equations,1,8,0,60,0,1,0
132,114895003724192,1318392166,1504804728,Solve 2x2 by graphing,1,8,0,131,0,1,0
133,114895003724193,1318392166,1504804728,Solve 2x2 by substitution,1,8,0,131,0,1,0
134,114895003724194,1318392166,1504804728,Solve 2x2 by elimination,1,8,0,131,0,1,0
135,114895003724195,1318392166,1504804728,Applications,1,8,0,131,0,1,0
136,114895003724196,1318392166,1504804728,Solve 3x3 systems,1,8,0,131,0,1,0
138,114895003724197,1318392166,1504804728,Linear inequalities in 2 variables,1,8,0,60,0,1,0
139,114895003724199,1318392166,1504804728,Rationals,1,8,0,60,0,1,0
140,1148950037241100,1318392166,1504804728,Simplify,1,8,0,139,0,1,0
141,1148950037241101,1318392166,1504804728,Multiply and divide,1,8,0,139,0,1,0
142,1148950037241102,1318392166,1504804728,Add/subtract with like denom,1,8,0,139,0,1,0
143,1148950037241103,1318392166,1504804728,Add/subtract with unlike denom,1,8,0,139,0,1,0
144,1148950037241104,1318392166,1504804728,Complex expressions,1,8,0,139,0,1,0
145,1148950037241105,1318392166,1504804728,Solving rational equations leading to linear,1,8,0,139,0,1,0
146,1148950037241106,1318392166,1504804728,Solving rational equations leading to quadratic,1,8,0,139,0,1,0
147,1148950037241107,1318392166,1504804728,Applications,1,8,0,139,0,1,0
148,1148950037241108,1318392166,1504804728,Similar triangles,1,8,0,139,0,1,0
149,1148950037241109,1318392166,1504804728,Asymptotes and roots,1,8,0,139,0,1,0
150,1148950037241110,1318392166,1504804728,Behavior of graphs,1,8,0,139,0,1,0
151,1151635299451538,1318392166,1504804728,Rationalize Denominator,1,8,0,139,0,1,0
152,1181667919650126,1318392166,1504804728,Restrictions,1,8,0,139,0,1,0
153,1261093972264911,1318392166,1504804728,LCM of Polynomials,1,8,0,139,0,1,0
154,1304009393946287,1318392166,1504804728,Rational Inequalities,1,8,0,139,0,1,0
155,1148950037241111,1318392166,1504804728,Radicals,1,8,0,60,0,1,0
156,1148950037241112,1318392166,1504804728,Combining radicals,1,8,0,155,0,1,0
157,1148950037241113,1318392166,1504804728,Connection to Rational exponents,1,8,0,155,0,1,0
158,1148950037241114,1318392166,1504804728,Simplifying,1,8,0,155,0,1,0
159,1148950037241115,1318392166,1504804728,Four ops,1,8,0,155,0,1,0
160,1148950037241116,1318392166,1504804728,Solving radical equations,1,8,0,155,0,1,0
161,1148950037241117,1318392166,1504804728,Applications,1,8,0,155,0,1,0
162,1181668502209037,1318392166,1504804728,Radicals w/Calculators,1,8,0,155,0,1,0
163,1148950037241118,1318392166,1504804728,Exponential functions,1,8,0,60,0,1,0
164,1148950037241119,1318392166,1504804728,Graph,1,8,0,163,0,1,0
165,1148950037241120,1318392166,1504804728,e,1,8,0,163,0,1,0
166,1148950037241121,1318392166,1504804728,Solving exponential equations (not needing logs),1,8,0,163,0,1,0
167,1148950037241122,1318392166,1504804728,Write equations,1,8,0,163,0,1,0
