id,libid,qsetid,ownerid,junkflag,lastmoddate,deleted
1,1,1,1,0,0,0
2,1,2,1,0,0,0
3,1,3,1,0,0,0
4,1,4,1,0,0,0
5,1,5,1,0,0,0
6,1,6,1,0,0,0
7,1,7,1,0,0,0
8,1,8,1,0,0,0
9,1,9,1,0,0,0
10,1,10,1,0,0,0
11,1,11,1,0,0,0
12,1,12,1,0,0,0
13,1,13,1,0,0,0
16,1,14,1,0,0,0
17,1,15,1,0,0,0
18,1,16,1,0,0,0
20,1,17,1,0,0,0
24,1,18,1,0,0,0
25,1,19,1,0,0,0
26,1,20,1,0,0,0
27,1,21,1,0,0,0
28,1,22,1,0,0,0
29,1,23,1,0,0,0
30,1,24,1,0,0,0
32,1,25,1,0,0,0
33,1,26,1,0,0,0
34,1,27,1,0,0,0
35,1,28,1,0,0,0
36,1,29,1,0,0,0
42,1,30,1,0,0,0
43,1,31,1,0,0,0
44,1,32,1,0,0,0
46,1,33,1,0,0,0
51,1,34,1,0,0,0
58,1,35,1,0,0,0
59,2,36,1,0,0,0
60,2,37,1,0,0,0
61,2,38,1,0,0,0
62,2,39,1,0,0,0
63,2,40,1,0,0,0
64,2,41,1,0,0,0
65,2,42,1,0,0,0
66,2,43,1,0,0,0
67,2,44,1,0,0,0
68,2,45,1,0,0,0
69,2,46,1,0,0,0
70,2,47,1,0,0,0
71,2,48,1,0,0,0
72,2,49,1,0,0,0
73,2,50,1,0,0,0
74,2,51,1,0,0,0
75,2,52,1,0,0,0
76,2,53,1,0,0,0
77,2,54,1,0,0,0
78,2,55,1,0,0,0
79,2,56,1,0,0,0
80,2,57,1,0,0,0
81,2,58,1,0,0,0
82,2,59,1,0,0,0
83,2,60,1,0,0,0
84,2,61,1,1,0,1
86,2,63,1,0,0,0
87,2,64,1,0,0,0
88,2,65,1,0,0,0
89,2,66,1,0,0,0
90,2,67,1,1,0,1
91,2,68,1,0,0,0
92,2,69,1,0,0,0
93,2,70,1,0,0,0
94,2,71,1,0,0,0
95,2,72,1,0,0,0
96,2,73,1,0,0,0
98,2,75,1,1,0,1
99,2,76,1,0,0,0
100,2,77,1,0,0,0
101,5,78,1,0,0,0
102,5,79,1,0,0,0
103,5,80,1,0,0,0
104,5,81,1,0,0,0
105,5,82,1,0,0,0
106,5,83,1,0,0,0
107,5,84,1,0,0,0
108,5,85,1,0,0,0
109,5,86,1,0,0,0
110,5,87,1,0,0,0
111,5,88,1,0,0,0
112,5,89,1,0,0,0
113,5,90,1,0,0,0
114,5,91,1,0,0,0
115,5,92,1,0,0,0
116,5,93,1,0,0,0
117,5,94,1,0,0,0
118,5,95,1,0,0,0
119,5,96,1,0,0,0
122,5,99,1,0,0,0
123,5,100,1,0,0,0
124,5,101,1,0,0,0
125,5,102,1,0,0,0
126,5,103,1,0,0,0
127,5,104,1,0,0,0
128,5,105,1,0,0,0
129,5,106,1,0,0,0
130,5,107,1,0,0,0
131,5,108,1,0,0,0
132,5,109,1,0,0,0
133,5,110,1,0,0,0
134,5,111,1,0,0,0
135,5,112,1,0,0,0
136,5,113,1,0,0,0
137,5,114,1,0,0,0
138,5,115,1,0,0,0
139,5,116,1,0,0,0
140,5,117,1,0,0,0
141,5,118,1,0,0,0
142,5,119,1,0,0,0
143,5,120,1,0,0,0
144,5,121,1,0,0,0
145,5,122,1,0,0,0
146,5,123,1,0,0,0
147,5,124,1,0,0,0
148,5,125,1,0,0,0
149,5,126,1,0,0,0
150,5,127,1,0,0,0
151,5,128,1,0,0,0
152,5,129,1,0,0,0
153,5,130,1,0,0,0
154,5,131,1,0,0,0
155,5,132,1,0,0,0
156,5,133,1,0,0,0
157,5,134,1,0,0,0
158,5,135,1,0,0,0
159,5,136,1,0,0,0
160,5,137,1,0,0,0
161,5,138,1,0,0,0
162,5,139,1,0,0,0
163,5,140,1,0,0,0
164,5,141,1,0,0,0
165,5,142,1,0,0,0
166,5,143,1,0,0,0
167,5,144,1,0,0,0
168,5,145,1,0,0,0
169,5,146,1,0,0,0
170,5,147,1,1,0,1
171,5,148,1,1,0,1
172,5,149,1,1,0,1
173,5,150,1,1,0,1
174,5,151,1,1,0,1
175,5,152,1,1,0,1
176,5,153,1,1,0,1
177,5,154,1,1,0,1
178,5,155,1,0,0,0
179,5,156,1,0,0,0
180,5,157,1,0,0,0
